x,u
    0.000000,    0.000000
    0.010000,    0.010305
    0.020000,    0.020607
    0.030000,    0.030904
    0.040000,    0.041193
    0.050000,    0.051472
    0.060000,    0.061738
    0.070000,    0.071989
    0.080000,    0.082222
    0.090000,    0.092434
    0.100000,    0.102623
    0.110000,    0.112787
    0.120000,    0.122922
    0.130000,    0.133027
    0.140000,    0.143099
    0.150000,    0.153135
    0.160000,    0.163133
    0.170000,    0.173091
    0.180000,    0.183005
    0.190000,    0.192874
    0.200000,    0.202694
    0.210000,    0.212464
    0.220000,    0.222181
    0.230000,    0.231843
    0.240000,    0.241447
    0.250000,    0.250990
    0.260000,    0.260472
    0.270000,    0.269888
    0.280000,    0.279237
    0.290000,    0.288516
    0.300000,    0.297724
    0.310000,    0.306857
    0.320000,    0.315914
    0.330000,    0.324892
    0.340000,    0.333789
    0.350000,    0.342603
    0.360000,    0.351332
    0.370000,    0.359973
    0.380000,    0.368524
    0.390000,    0.376983
    0.400000,    0.385349
    0.410000,    0.393618
    0.420000,    0.401790
    0.430000,    0.409861
    0.440000,    0.417830
    0.450000,    0.425695
    0.460000,    0.433454
    0.470000,    0.441104
    0.480000,    0.448645
    0.490000,    0.456074
    0.500000,    0.463390
    0.510000,    0.470590
    0.520000,    0.477672
    0.530000,    0.484636
    0.540000,    0.491479
    0.550000,    0.498199
    0.560000,    0.504795
    0.570000,    0.511266
    0.580000,    0.517609
    0.590000,    0.523822
    0.600000,    0.529906
    0.610000,    0.535857
    0.620000,    0.541675
    0.630000,    0.547358
    0.640000,    0.552904
    0.650000,    0.558313
    0.660000,    0.563582
    0.670000,    0.568711
    0.680000,    0.573698
    0.690000,    0.578543
    0.700000,    0.583243
    0.710000,    0.587797
    0.720000,    0.592206
    0.730000,    0.596466
    0.740000,    0.600578
    0.750000,    0.604541
    0.760000,    0.608352
    0.770000,    0.612012
    0.780000,    0.615520
    0.790000,    0.618874
    0.800000,    0.622074
    0.810000,    0.625119
    0.820000,    0.628008
    0.830000,    0.630740
    0.840000,    0.633316
    0.850000,    0.635733
    0.860000,    0.637992
    0.870000,    0.640092
    0.880000,    0.642033
    0.890000,    0.643813
    0.900000,    0.645433
    0.910000,    0.646893
    0.920000,    0.648191
    0.930000,    0.649327
    0.940000,    0.650302
    0.950000,    0.651114
    0.960000,    0.651765
    0.970000,    0.652253
    0.980000,    0.652578
    0.990000,    0.652741
    1.000000,    0.652741
    1.010000,    0.652578
    1.020000,    0.652253
    1.030000,    0.651765
    1.040000,    0.651114
    1.050000,    0.650302
    1.060000,    0.649327
    1.070000,    0.648191
    1.080000,    0.646893
    1.090000,    0.645433
    1.100000,    0.643813
    1.110000,    0.642033
    1.120000,    0.640092
    1.130000,    0.637992
    1.140000,    0.635733
    1.150000,    0.633316
    1.160000,    0.630740
    1.170000,    0.628008
    1.180000,    0.625119
    1.190000,    0.622074
    1.200000,    0.618874
    1.210000,    0.615520
    1.220000,    0.612012
    1.230000,    0.608352
    1.240000,    0.604541
    1.250000,    0.600578
    1.260000,    0.596466
    1.270000,    0.592206
    1.280000,    0.587797
    1.290000,    0.583243
    1.300000,    0.578543
    1.310000,    0.573698
    1.320000,    0.568711
    1.330000,    0.563582
    1.340000,    0.558313
    1.350000,    0.552904
    1.360000,    0.547358
    1.370000,    0.541675
    1.380000,    0.535857
    1.390000,    0.529906
    1.400000,    0.523822
    1.410000,    0.517608
    1.420000,    0.511266
    1.430000,    0.504795
    1.440000,    0.498199
    1.450000,    0.491479
    1.460000,    0.484636
    1.470000,    0.477672
    1.480000,    0.470590
    1.490000,    0.463390
    1.500000,    0.456074
    1.510000,    0.448645
    1.520000,    0.441104
    1.530000,    0.433454
    1.540000,    0.425695
    1.550000,    0.417830
    1.560000,    0.409861
    1.570000,    0.401790
    1.580000,    0.393618
    1.590000,    0.385349
    1.600000,    0.376983
    1.610000,    0.368524
    1.620000,    0.359973
    1.630000,    0.351332
    1.640000,    0.342603
    1.650000,    0.333789
    1.660000,    0.324892
    1.670000,    0.315914
    1.680000,    0.306857
    1.690000,    0.297724
    1.700000,    0.288516
    1.710000,    0.279237
    1.720000,    0.269888
    1.730000,    0.260472
    1.740000,    0.250990
    1.750000,    0.241447
    1.760000,    0.231843
    1.770000,    0.222181
    1.780000,    0.212464
    1.790000,    0.202694
    1.800000,    0.192874
    1.810000,    0.183005
    1.820000,    0.173091
    1.830000,    0.163133
    1.840000,    0.153135
    1.850000,    0.143099
    1.860000,    0.133027
    1.870000,    0.122923
    1.880000,    0.112787
    1.890000,    0.102623
    1.900000,    0.092434
    1.910000,    0.082222
    1.920000,    0.071989
    1.930000,    0.061738
    1.940000,    0.051472
    1.950000,    0.041193
    1.960000,    0.030904
    1.970000,    0.020607
    1.980000,    0.010305
    1.990000,    0.000000
